DCS abbreviations (Gasuns edition)
Abhidharmakośa	Abh
Abhidharmakośabhāṣya	AbhBh
Acintyastava	AcTa
Agastīyaratnaparīkṣā	AgRa
Agnipurāṇa	AgniP
Aitareyopaniṣad	AitUp
Amarakośa	AmK
Amaraughaśāsana	AmŚā
Amaruśataka	AmŚ
Amṛtabindūpaniṣat	AmUp
Arthaśāstra	ArthŚ
Ayurvedarasāyana	AHSra
Aṣṭavakragīta	AṣṭGī
Aṣṭādhyāyī	Aṣṭ
Aṣṭāṅgahṛdayasaṃhitā	AHS
Aṣṭāṅganighaṇṭu	AṣṭNi
Aṣṭāṅgasaṃgraha	ASaṃ
Ānandakanda	ĀK
Āyurvedadīpikā	ĀyDī
Baudhāyanadharmasūtra	BauSū
Bhadrabāhucarita	BhCa
Bhairavastava	Bhai
Bhāgavatapurāṇa	BhāgP
Bhāvaprakāśa	BhPr
Bhramarāṣṭaka	Bhra
Bījanighaṇṭu	BījNi
Bodhicaryāvatāra	BoCA
Brahmabindūpaniṣat	BraUp
Buddhacarita	BCar
Bṛhatkathāślokasaṃgraha	Bṛhat
Cakra (?) on Suśr	Cakra
Carakasaṃhitā	Ca
Carakatattvapradīpikā	CaDī
Chāndogyopaniṣad	ChāUp
Comm. on the Kāvyālaṃkāravṛtti	KāVṛ
Commentary on Amaraughaśāsana	AmŚā
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	KādSv
Daśakumāracarita	DKCar
Dhanurveda	DhanV
Dhanvantarinighaṇṭu	DhaNi
Ekākṣarakoṣa	
Garbhopaniṣat	GarUp
Garuḍapurāṇa	GarPu
Gautamadharmasūtra	GauDh
Gaṇakārikā	GaṇaK
Gaṇakārikāṭīkā	GaṇKṬ
Gheraṇḍasaṃhitā	GherS
Gītagovinda	GīG
Gokarṇapurāṇasāraḥ	GokP
Gopathabrāhmaṇa	GopBr
Gorakṣaśataka	GorŚ
Gøḍhārthaprakāśaka	
Gūḍhārthadīpikā	ŚGDī
Gṛhastharatnākara	GṛRĀ
Haribhaktivilāsa	HBh
Haṭhayogapradīpikā	HYP
Haṃsadūta	Haṃ
Hārāṇacandara on Suśr	HāSu
Hitopadeśa	H
Indu (ad AHS)	InAHS
Janmamaraṇavicāra	JanM
Kaiyadevanighaṇṭu	KaiNi
Kaulāvalīnirṇaya	
Kauśikasūtra	Kauś
Kauśikasūtradārilabhāṣya	KDār
Kādambarīsvīkaraṇasūtramañjarī	KāSvī
Kālikāpurāṇa	KālPu
Kāmasūtra	KāSū
Kātyāyanasmṛti	KātSm
Kāvyādarśa	KāvĀ
Kāvyālaṃkāra	KāvAl
Kāvyālaṃkāravṛtti	KāVṛ
Kāṭhakagṛhyasūtra	KāṭhGṛ
Kāśikāvṛtti	KāśVṛ
Kirātārjunīya	Kir
Kumārasaṃbhava	KumS
Kūrmapurāṇa	KūPu
Kṛṣiparāśara	KṛṣiP
Kṛṣṇāmṛtamahārṇava	KAM
Laṅkāvatārasūtra	LAS
Liṅgapurāṇa	LiPu
Madanapālanighaṇṭu	MPāNi
Mahābhārata	MBh
Mahācīnatantra	MahT
Manusmṛti	MaS
Matsyapurāṇa	MaPu
Maṇimāhātmya	Maṇi
Mātṛkābhedatantra	MBhT
Meghadūta	Megh
Mugdhāvabodhinī	Mugh
Mūlamadhyamakārikāḥ	MūlaK
Mṛgendratantra	MṛgT
Mṛgendraṭīkā	MṛgṬī
Nādabindūpaniṣat	NāUp
Nāradasmṛti	NāS
Nāṭyaśāstra	Nāṭ
Nāṭyaśāstravivṛti	NŚVi
Nāḍīparīkṣā	Nāḍī
Nāḍīvijñāna	
Nibandhasaṃgraha	NiSaṃ
Nighaṇṭuśeṣa	NiŚe
Nirukta	Nir
Nyāyabhāṣya	NyāBh
Nyāyabindu	NyāBi
Nyāyacandrikāpaṇjikā	
Nyāyasūtra	NyāSū
Padārthacandrikā	PaAHS
Pañcārthabhāṣya	PABh
Paramānandīyanāmamālā	ParMā
Parāśaradharmasaṃhitā	ParDh
Parāśarasmṛtiṭīkā	ParāṬī
Pāśupatasūtra	PāśSū
Prasannapadā	PrasP
Rasahṛdayatantra	RHT
Rasakāmadhenu	RKDh
Rasamañjarī	RMañj
Rasaprakāśasudhākara	RPSu
Rasaratnasamuccaya	RRS
Rasaratnasamuccayabodhinī	RasR
Rasaratnasamuccayadīpikā	RRSDī
Rasaratnasamuccayaṭīkā	RRSṬī
Rasaratnākara	RRĀ
Rasasaṃketakalikā	RSK
Rasataraṅgiṇī	RTar
Rasādhyāya	RAdhy
Rasādhyāyaṭīkā	RasṬ
Rasārṇava	RArṇ
Rasārṇavakalpa	RAK
Rasendracintāmaṇi	RCint
Rasendracūḍāmaṇi	RCūM
Rasendrasārasaṃgraha	RSS
Rasikapriyā	RasPr
Rasikasaṃjīvanī	Rsaṃ
Ratnadīpikā	RatDī
Rājamārtaṇḍa	RājMā
Rājanighaṇṭu	RājNi
Rāmāyaṇa	Rām
Sarvadarśanasaṃgraha	SDS
Sarvāṅgasundarā	SaAHS
Saṅghabhedavastu	Saṅgh
Sātvatatantra	SātT
Sāṃkhyakārikā	SāṃK
Sāṃkhyakārikābhāṣya	SKBh
Sāṃkhyatattvakaumudī	STKau
Skandapurāṇa	SkPu
Skandapurāṇa (Revākhaṇḍa)	SkPuR
Smaradīpikā	SmaDī
Spandakārikā	SpaKā
Spandakārikānirṇaya	SpKāNi
Sphuṭārthāvyākhyā	SphAbh
Suśrutasaṃhitā	Su
Sūryasiddhānta	SūrSi
Sūryaśataka	SūrŚ
Sūryaśatakaṭīkā	SūrŚṬī
Tantrasaṃgraha	
Tantrasāra	TantS
Tantrākhyāyikā	TAkh
Tantrāloka	TĀ
Tarkasaṃgraha	Tarka
Tattvavaiśāradī	Tattva
Toḍalatantra	ToḍT
Trikāṇḍaśeṣa	TriKŚ
Triṃśatikāvṛtti	TriVṛ
Uḍḍāmareśvaratantra	UḍḍT
Vaiśeṣikasūtra	VaiSū
Vaiśeṣikasūtravṛtti	VaiSūVṛ
Varāhapurāṇa	VarPu
Vātūlanāthasūtras	VNSū
Vātūlanāthasūtravṛtti	VNSūV
Vetālapañcaviṃśatikā	VetPV
Viṣṇupurāṇa	ViPu
Viṣṇusmṛti	ViSmṛ
Viṃśatikākārikā	ViṃKā
Vṛddhayamasmṛti	Vṛd
Yājñavalkyasmṛti	YāSmṛ
Yogaratnākara	YRā
Yogasūtra	YS
Yogasūtrabhāṣya	YSBh
Ṛgvedavedāṅgajyotiṣa	ṚVJ
Ṛtusaṃhāra	ṚtuS
Ṭikanikayātrā	Ṭika
Śatapathabrāhmaṇa	ŚpBr
Śāktavijñāna	ŚākVi
Śārṅgadharasaṃhitā	ŚdhS
Śārṅgadharasaṃhitādīpikā	ŚdhSDī
Śira'upaniṣad	ŚirUp
Śivapurāṇa	ŚivaP
Śivasūtra	ŚiSū
Śivasūtravārtika	ŚiSūV
Śvetāśvataropaniṣad	ŚveUp
